abira	great-grandchild
axloq	morality
axloq	morals
axloqsiz	immoral
axloqsiz	mean
axloqsiz	wicked
aya	mummy
ayirbosh	exchange
ayirboshlash	barter
ayirboshlash	exchange
aylana	circle
aylanish	rotate
aylanma	circular
aylan	rotate
aylantirish	turn
aylantir	turn
aymoq	clan
aymoq	kin
aymoq	relative
aynish	worsen
ayni	worsen
aytishish	wrangle
aytish	wrangle
ayvon	terrace
ayvon	verandah
aziyat	hardship
aziyat	suffering
aziyat	torment
azoblash	torment
azobla	torment
azob	suffering
azob-uqubat	distress
azob-uqubat	hardships
azob-uqubatli	distressful
azob-uqubatli	hard
azob-uqubat	sufferings
bachadon	uterus
bachadon	womb
badavlat	prosperous
badavlat	rich
badavlat	wealthy
badbasharalik	ugliness
badbasharalik	unattractiveness
badbashara	ugly
badbashara	unattractive
bagʻdod	baghdad
bahaybat	colossal
bahaybat	huge
baho	price
baho	value
baho	worth
baland	high
balandlik	height
baland	loud
baliq	fish
balkon	balcony
bamaʼnilik	sensibleness
bamaʼnilik	seriousness
bamaʼni	sensible
bamaʼni	serious
banan	banana
band	busy
band	engaged
band	taken
bank	bank
baqiriq	roar
baqiriq	shout
baqiriq	yell
baqirish	scream
baqirish	yell
baqiroq	noisy
baqiroq	yelling
baqir	scream
baqir	yell
baqlajon	egg-plant
baraka	abundance
barakali	flourishing
barakali	prosperous
baraka	prosperity
barakasiz	declining
bar	bar
bardosh	endurance
bardoshli	patient
bardosh	patience
barno	comely
barnolik	comeliness
barnolik	prettiness
barno	pretty
basseyn	basin
baxillik	meanness
baxillik	spite
baxillik	spitefulness
baxil	mean
baxil	spiteful
baxt-saodat	happiness
baxt-saodatli	happy
baxt-saodatli	prosperous
baxt-saodat	well-being
baza	base
beadab	ill-mannered
beadab	impolite
beadablik	impoliteness
beadablik	obscenity
beadab	obscene
bechoralik	misery
bechoralik	poverty
bechora	miserable
bechora	pitiful
bechora	poor
beda	clover
bedorlik	wakefulness
bedor	wakefulness
behi	quince
behush	unconscious
beixtiyor	involuntary
bekat	stop
bekor	emptiness
bekor	empty
bekor	useless
belgila	define
belgila	fix
belgilash	define
belgilash	fix
bellashish	rival
bellash	rival
bepoyon	boundless
bepoyon	infinite
bepoyonlik	immensity
bepoyonlik	infinity
bepoyon	limitless
beqaror	undecided
beqiyos	incomparable
beqiyos	matchless
beril	devoted
berilish	devoted
berilish	staunch
beril	staunch
besabr	impatient
beton	concrete
betoqat	impatient
betoqatlik	impatience
bevafo	disloyal
bevafolik	disloyalty
bevafolik	unfaithfulness
bevafo	unfaithful
bevalik	widowerhood
bevalik	widowhood
beva	widow
beva	widower
bibi	grandmother
binobarin	consequently
binobarin	therefore
bino	building
binokor	builder
bishkek	bishkek
biskvit	biscuit
boadab	polite
boadab	well-bred
bobo	grandfather
bodom	almond
bodring	cucumber
bogʻbon	gardener
bogʻbonlik	gardening
boʻgʻ	choke
bogʻ	garden
boʻgʻish	choke
boʻgʻish	strangle
bogʻ	park
boʻgʻ	strangle
boja	brother-in-law
boku	baku
bola	child
bolalarcha	childish
bolasiz	childless
boʻl	be
boʻl	happen
bol	honey
boʻlish	be
boʻlish	happen
boʻlish	separate
boʻlma	room
boʻl	separate
bomba	bomb
bombardmon	bombardment
bop	appropriate
bop	suitable
boʻq	excrement
boq	feed
boqish	feed
boqish	pasture
boʻq	manure
boq	pasture
bor	existent
borlik	existence
borliq	possession
bor	present
boʻsagʻa	threshold
bos	capture
bos	conquer
bos	grab
boʻshashish	soften
boʻshash	soften
boʻshashtirish	soften
boʻshashtir	soften
boʻshat	clear
boʻshat	empty
boʻshatish	clear
boʻshatish	empty
boʻsh	empty
boshlash	take
boshla	take
boʻshliq	emptiness
boʻshliq	space
boshpana	refuge
boshpana	shelter
boshqird	bashkir
boshqirdston	bashkirstan
boʻsh	void
bosish	capture
bosish	conquer
bosish	grab
bosish	press
bosish	push
bosish	seize
bos	press
bos	push
bosqinchi	aggressor
bosqinchi	bandit
bosqinchilik	aggression
bosqinchilik	crime
bos	seize
botir	hero
botirlarcha	bravely
botirlarcha	heroically
botirlik	bravery
botirlik	heroism
boʻydoq	single
boʻydoq	unmarried
boʻy	height
boyit	enrich
boyitish	enrich
boʻy	length
boylik	resources
boylik	riches
boylik	wealth
boʻyli	tall
boʻy	scent
boʻy	size
boʻy	smell
boy	wealthy
boʻza	boza
bozor	market
britaniyalik	bristish
budka	booth
bufet	buffet
bugʻdoy	wheat
bugʻlan	evaporate
bugʻlanish	evaporate
bugʻlanish	evaporation
bugʻlash	steam
bugʻla	steam
bukiluvchan	pliable
bukiluvchan	supple
bulvar	boulevard
bunyod	appear
burama	spiral
burama	twist
bura	screw
burash	screw
burash	twist
bura	twist
burch	duty
burchli	indebted
burch	obligation
buterbrod	sandwich
buva	grandfather
buvi	grandmother
buvi	granny
buxoro	bukhara
buyuk	grand
buyuk	great
buyum	goods
buyum	thing
buzuq	broken
buzuq	spoilt
chala	incomplete
chala	unfinished
chalpak	pancake
chaman	flowerbed
chanqoqlik	thirst
chanqoq	thirsty
chaq	bite
chaqish	bite
chaqish	sting
chaq	sting
charcha	exhausted
charchagan	tired
charchagan	weary
charcha	get
charchash	exhausted
charchash	get
charchatish	tire
charchat	tire
charchoq	tiredness
charchoq	weariness
chayla	hut
chayna	chew
chayna	masticate
chaynash	chew
chaynash	masticate
chekish	smoke
chek	smoke
cherkov	church
chevara	great-great-grandchild
chida	bear
chida	endure
chidam	endurance
chidamli	hardy
chidamli	patient
chidam	patience
chidamsiz	delicate
chidamsiz	impatient
chidamsizlik	impatience
chidash	bear
chidash	endure
chinakam	earnestness
chinakam	sincerity
chindan	indeed
chiniqish	toughen
chiniqtir	harden
chiniqtirish	harden
chiniqtirish	strengthen
chiniqtirish	temper
chiniqtir	strengthen
chiniqtir	temper
chiniq	toughen
chinqir	howl
chinqiriq	shriek
chinqirish	howl
chinqirish	scream
chinqirish	yell
chinqir	scream
chinqir	yell
chin	sincere
chin	true
chiq	appear
chiqar	emit
chiqar	exhale
chiqarish	emit
chiqarish	exhale
chiq	emerge
chiq	exit
chiqish	appear
chiqish	emerge
chiqish	exit
chiri	decay
chirik	decayed
chirik	putrefied
chirik	rotten
chiri	putrefy
chiri	rot
chirish	decay
chirish	putrefy
chirish	rot
chirit	decay
chiritish	decay
chiritish	putrefy
chiritish	rot
chirit	putrefy
chirit	rot
chiroy	beauty
chiroyli	beautiful
chodir	tent
chop	gallop
chopish	gallop
chopish	run
chopqir	fleet-footed
chopqir	swift
chop	run
chorraha	crossroads
choynak	teapot
choy	tea
choʻziluvchan	elastic
chunki	because
chuqur	deep
chuqurlash	deepen
chuqurlashish	deepen
chuqurlashtir	deepen
chuqurlashtirish	deepen
chuqurlik	depth
dabdabali	magnificent
dabdabali	splendid
dabdaba	magnificence
dabdaba	pomp
dabdaba	splendour
dada	daddy
dada	papa
dadil	bold
dadil	brave
dadillik	boldness
dadillik	bravery
dagʻal	coarse
dagʻallik	coarseness
dagʻallik	rudeness
dagʻal	rude
dahliz	lobby
dahshat	fear
dahshat	horror
dahshatli	terrifying
dahshatli	threatening
dahshat	terror
damashq	damascus
dam	break
dam	breath
damla	brew
damla	infuse
damla	make
damlash	brew
damlash	infuse
damlash	make
damlash	simmer
damlash	steam
damla	simmer
damla	steam
dam	rest
dangal	frankly
dangal	openly
dangasa	bone-idle
dangasa	lazy
dangasalik	laziness
daraja	degree
dard	distress
dardli	distressing
dardli	painful
dard	pain
dard	suffering
dard	trouble
darkor	necessity
darkor	need
darvozabon	door-keeper
darvozabon	gatekeeper
darvoza	gate
davlatli	rich
davlatli	wealthy
davlatmand	rich
davlatmand	wealthy
davlat	riches
davlat	wealth
deraza	window
devona	beggar
devoriy	mural
devoriy	wall
devor	wall
dimlash	steam
dimlash	stew
dimla	steam
dimla	stew
dim	stuffy
dim	sultry
dirilla	flutter
dirilla	shake
dirillash	flutter
dirillash	shake
dirillash	tremble
dirilla	tremble
dogʻiston	daghestan
doʻkoncha	stall
doʻkon	shop
doʻkon	stall
doʻkon	store
doʻlma	dolma
doʻqlash	threaten
doʻqla	threaten
doʻq	threat
dori	powder
dorixona	pharmacy
dovdira	mumble
dovdirash	mumble
dovyurak	bold
dovyurak	brave
dovyurak	intrepid
dudlash	smoke
dudla	smoke
dumalash	somersault
dumala	somersault
dumalatish	roll
dumalat	roll
dumaloq	circular
dumaloq	round
dungon	dungan
dunyoparast	greedy
dunyo	wealth
duradgor	carpenter
duradgorlik	carpentry
durust	correct
durust	fair
durust	good
durust	regular
durust	upright
dushanbe	dushanbe
dushman	enemy
dushmanlik	enmity
egalik	ownership
egalik	possession
egalla	gain
egalla	own
egalla	possess
egallash	gain
egallash	own
egallash	possess
ega	owner
ega	recipient
egilish	rigid
egilish	stiff
egil	rigid
egil	stiff
egiluvchan	flexible
egiluvchan	pliable
egizak	twin
ehtimollik	probability
ehtimol	possible
ehtimol	probable
ehtiyoj	needs
elchixona	embassy
elt	carry
elt	contain
eltish	carry
eltish	contain
eltish	take
elt	take
emish	suck
emiz	breast-feed
emizish	breast-feed
em	suck
en	breadth
engashish	stoop
engash	stoop
engashtirish	lean
engashtir	lean
enli	broad
enli	wide
ensiz	narrow
en	width
ep	possibility
er	courageous
ergashuvchi	follower
eri	melt
erinchaq	idle
erinchaq	languid
erinchaq	lazy
erish	melt
erish	thaw
erit	dissolve
eri	thaw
eritish	dissolve
eritish	melt
eritma	solution
erit	melt
erkalanish	pampered
erkalan	pampered
erkalash	spoil
erkala	spoil
erkalik	caprice
erkalik	squeamishness
erkalik	whim
erka	pampered
erka	spoilt
erk	freedom
erkin	free
erkinlik	freedom
erkinlik	liberty
erk	liberty
erksiz	compelled
erksiz	forced
erlik	manliness
erli	married
er	male
er	man
er	manly
eron	iran
eroniy	iranian
eronlik	iranian
ersiz	unmarried
er-xotinlik	coupledom
es	blow
eshikcha	door
eshikcha	flap
eshik	door
eshik	gate
eshituvchi	listener
esish	blow
eskalator	escalator
esnash	yawn
esna	yawn
eʼtiqod	conviction
eʼtiqodli	convinced
eʼtiqodli	faithful
eʼtiroz	objection
eʼtiroz	protest
evara	great-grandchild
ez	crush
ezgu	benevolent
ezgu	good
ezgu	kind
ezilish	repressed
ezil	repressed
ezish	crush
ezish	squeeze
ez	squeeze
fabrika	factory
fakt	fact
falak	sky
familiya	surname
faqirlik	poverty
faqir	poor
fargʻona	ferghana
farogʻat	peace
farogʻat	quietness
farogʻat	relaxation
farogʻat	rest
farovon	abundant
farovonlash	develop
farovonlashish	develop
farovonlik	prosperity
farovonlik	well-being
farovon	prosperous
faryod	shout
faryod	wailing
farzand	child
farzandsiz	childless
fasod	intrigue
fasod	scheme
favvora	fountain
fazilatli	virtuous
fazilat	virtue
fazilat	worth
feʼl	character
feʼl	disposition
ferma	farm
filtr	filter
filtrli	filtered
filtrsiz	filterless
fisq-fasod	immoral
fisq-fasod	intrigue
fisq-fasod	promiscuous
fisq-fasod	rumors
fitnachi	instigator
fitnachi	intriguer
fitna	conspiracy
fitna	intrigue
fitna	plot
fontan	fountain
forscha	persian
forsiy	persian
fors	persian
fransiya	france
fransuzcha	french
fransuz	french
gado	beggar
gadoylik	begging
gʻaji	gnaw
gʻajish	gnaw
gʻalabali	victorious
gʻalaba	success
gʻalaba	victory
gʻalayon	agitation
gʻalayon	anger
gʻalayon	unrest
gʻalva	quarrel
gʻalva	row
gʻalva	scene
gamburger	hamburger
gap	affair
gap	matter
garaj	garage
garang	deaf
garanglik	deafness
gʻavgʻoli	noisy
gʻavgʻoli	scandalous
gʻavgʻo	noise
gʻavgʻo	row
gʻavgʻo	scene
gʻavgʻosiz	peaceful
gʻavgʻosiz	quiet
gʻayrat	energy
gʻayratli	dynamic
gʻayratli	energetic
gʻayratli	vigourous
gʻayrat	willpower
gʻayrat	zeal
gazak	snack
gektar	hectar
general	general
genetik	genetic
gen	gene
germaniya	germany
girdob	whirlpool
gʻirrom	dishonest
gʻirromlik	cheating
gʻirromlik	dishonesty
gʻisht	brick
goʻja	pudding
gʻolibona	victorious
gʻolib	winner
gollanda	holland
gollandalik	dutch
golland	dutch
gorchitsa	mustard
goʻr	grave
goʻriston	cemetery
goʻriston	graveyard
goʻrkor	gravedigger
goʻr	tomb
goʻsht	meat
goʻshtsiz	meatless
goʻshtsiz	vegetarian
gʻoyib	absent
gʻoyib	invisible
gʻoyibona	secretly
goʻzal	attractive
goʻzal	beautiful
goʻzallash	attractive
goʻzallashish	attractive
goʻzallashtir	beautify
goʻzallashtirish	beautify
goʻzallik	beauty
goʻzallik	prettiness
goʻzal	pretty
gradus	degree
gradusnik	thermometer
gramm	gramme
gruzin	georgian
gruziya	georgia
guliston	gulistan
gulla	blossom
gulla	flourish
gullash	blossom
gullash	flourish
gumbaz	cupola
gumbaz	dome
gumondor	suspicious
gumon	doubt
gumon	suspicion
guruch	rice
had	excessive
had	undue
hadya	donation
hadya	gift
hadya	present
hafsala	desire
hafsala	wish
hajm	area
hajm	capacity
hajm	volume
halokat	accident
halokat	disaster
halokatli	accidental
halokatli	disastrous
halokat	wreck
halok	die
halok	perish
halol	honest
halollik	honesty
hammom	bathhouse
handalak	small
haqorat	insult
haqoratla	insult
haqoratla	offend
haqoratlash	insult
haqoratlash	offend
haqoratli	insulting
haqoratli	offending
haqqoniy	appropriate
haqqoniyat	appropriateness
haqqoniyat	justice
haqqoniyat	legitimacy
haqqoniyatsizlik	inappropriateness
haqqoniy	just
harakatchanlik	mobility
harakatchan	mobile
harakatchan	moving
harakatlanish	move
harakatlan	move
harakatlantirish	move
harakatlantir	move
harakat	move
harakat	movement
harakatsiz	immobile
harakatsizlik	immobility
harakatsiz	motionless
harb	battle
harbiycha	army
harbiycha	military
harbiylashtirish	militarize
harbiylashtir	militarize
harbiy	military
harb	war
harorat	temperature
hashamat	lavishness
hashamatli	lavish
hashamatli	magnificent
hashamatli	splendid
hashamatli	sumptuous
hashamat	magnificence
hashamat	splendour
hatla	jump
hatlash	jump
havas	desire
havas	longing
havas	wish
haybat	greatness
haybatli	awe-inspiring
haybatli	imposing
haybatli	majestic
haybat	majesty
hayda	drive
haydash	drive
haydovchi	driver
hayotiylik	vitality
hayot	livelihood
hazm	digestion
hidlash	smell
hidla	smell
hidli	odorous
hidli	scented
hid	odour
hid	scent
hidsiz	odourless
hidsiz	scentless
hid	smell
hilpira	blow
hilpira	flap
hilpirash	blow
hilpirash	flap
himoyachi	defender
himoya	defence
himoya	protection
himoyasiz	defenceless
himoyasiz	helpless
himoya	support
hindcha	hindi
hindi	indian
hind	india
hindiston	india
hirot	herat
hirs	desire
hirs	greed
his	feeling
hissi	perceptual
his-tuygʻu	feelings
hodisa	event
hodisa	happening
hodisa	incident
hojatli	necessary
hojat	necessity
hojat	need
hojatsiz	unnecessary
hojat	urge
hojatxona	convenience
hojatxona	lavatory
hojatxona	restroom
hojatxona	toilets
holat	condition
holat	state
holat	status
hol	condition
hoʻllash	wet
hoʻlla	wet
hoʻllik	humidity
hoʻllik	wetness
hoʻl	moist
hol	state
holva	halva
hoʻl	wet
homiladorlik	pregnancy
homilador	pregnant
homila	foetus
hoʻplam	gulp
hoʻplam	sip
hoʻplash	swallow
hoʻpla	swallow
hordiq	fatigue
horgʻin	tired
horgʻin	weary
hori	exhausted
horiganlik	tiredness
horiganlik	weariness
horigan	tired
horigan	weary
horish	exhausted
horish	weary
hori	weary
hovli	courtyard
hovli	yard
hujra	cell
hujra	den
hujum	assault
hujum	attack
hujumkor	attacker
hunar	craft
hunar	handicraft
hunar	profession
hunar	trade
hur	bark
hur	free
hur	howl
hurish	bark
hurish	howl
hurlik	freedom
hurriyat	freedom
hurriyat	liberty
hush	consciousness
hushsiz	unconscious
hushtak	whistle
hushyor	attentive
hushyor	vigilant
hushyor	watchful
husn	beauty
husn	charm
husndor	beautiful
husndor	charming
ich	contain
ichimli	drinkable
ichimlik	beverage
ichimlik	drink
iflos	filthy
ifloslik	dirt
ifloslik	dirtiness
iflos	muddy
igʻvogarlik	intrigue
igʻvogarlik	provocation
igʻvogarona	provocative
igʻvogar	provocateur
igʻvo	intrigue
igʻvo	provocation
ijarador	hirer
ijarador	renter
ijarador	tenant
ijara	rent
ijobiy	affirmative
ijobiy	positive
ikkilan	hesitate
ikkilanish	hesitate
ikkilanish	hesitation
ikkilanuvchi	hesitant
ikkilanuvchi	wavering
ikkiyuzlamachi	double-dealer
ikkiyuzlamachi	hypocrite
ikkiyuzlamachilik	hypocrisy
ikkiyuzlama	hypocritical
ikkiyuzlama	two-faced
ikra	caviar
ilgʻor	advanced
ilgʻor	leading
ilgʻor	outstanding
iliqlik	tepidity
iliqlik	warmth
iliq-miliq	tepid
iliq	tepid
ilitish	warm
ilit	warm
illat	defect
illat	harm
illatli	defective
illatli	faulty
illatli	weak
illat	trouble
illat	weakness
imkoniyat	opportunity
imkoniyat	possibility
imkon	possibility
imkonsiz	impossible
ingichka	slender
ingichka	thin
inglizcha	english
ingliz	english
injiq	capricious
injiqlik	caprice
injiqlik	whim
injiq	wayward
inʼom	gift
inʼom	present
insof	conscience
insof	fairness
insof	honesty
insofli	fair
insofli	honest
insofsiz	conscienceless
insofsiz	dishonest
insofsizlik	crookedness
insofsizlik	dishonesty
insofsiz	unfair
intilish	attempt
intilish	striving
intilish	yearning
intizor	anxiously
intizor	eagerly
intizorlik	waiting
irgʻi	jump
irgʻish	jump
iroda	determination
irodali	determined
irodali	wilful
irodasiz	irresolute
iroda	will
iroda	willpower
irqiy	racial
irq	race
isfahon	ispahan
ish	affair
ish	business
ish	matter
ishonarli	certain
ishonarli	sure
ishonch	confidence
ishonchli	reliable
ishonchli	trustworthy
ishonchsiz	unreliable
ishongan	confident
ishonish	belief
ishonish	confidence
ishonish	faith
ishonmaslik	distrust
ishonmaslik	mistrust
ishonmaslik	suspicion
ishonmovchilik	distrust
ishonmovchilik	mistrust
ishonmovchilik	suspicion
ishontir	convince
ishontirish	convince
ishtaha	appetite
ish	thing
ishxona	office
iskash	smell
iska	smell
ismaloq	spinach
ispancha	spanish
ispaniya	spain
ispan	spanish
is	scent
issiq	hot
issiqlik	heat
is	smell
istak	aspiration
istak	desire
istanbul	istanbul
istar-istamas	reluctantly
isteʼdod	ability
isteʼdod	faculty
isteʼdodli	able
isteʼdodli	talented
isteʼdod	talent
istilochi	conqueror
istilo	conquest
istiqlol	independence
istiqomat	habitation
istiqomat	residence
istirohat	holiday
istirohat	rest
isyonchi	rebel
isyon	rebellion
isyon	revolt
italiya	italy
italyan	italian
ixlos	dedication
ixlos	devotion
ixlosmand	dedicated
ixlosmand	devoted
ixtilof	discord
ixtilof	divergence
ixtilofli	contentious
ixtilofli	divergent
ixtiyoriy	voluntary
ixtiyorsiz	involuntary
ixtiyor	will
iz	footprint
iz	spoor
iz	trace
iz	track
jabrla	oppress
jabrlash	oppress
jabr	oppression
jabr	suffering
jabr-zulm	oppression
jafoli	hard
jafoli	toilsome
jafo	suffering
jafo	torture
jahongir	conqueror
jahongir	imperialist
jang	battle
jangchi	soldier
jangchi	warrior
janggoh	battlefield
janggoh	front
jangovar	fighting
janjal	brawl
janjalkash	quarrelsome
janjallash	brawl
janjallashish	brawl
janjal	quarrel
janjal	uproar
jarayon	process
jasorat	bravery
jasorat	courage
jasorat	daring
jasoratli	brave
jasoratli	courageous
jasoratli	daring
jasoratsiz	fearful
jasoratsiz	timorous
jasur	brave
jasur	courageous
jasur	daring
jasurlik	bravery
jasurlik	courage
jasurlik	daring
jasurona	bravely
jasurona	courageously
jazirama	burning
jazirama	scorching
jiddiy	earnest
jiddiylik	earnestness
jiddiylik	gravity
jiddiylik	seriousness
jiddiy	serious
jimjitlik	quietness
jimjitlik	silence
jimjitlik	stillness
jimjit	silent
jimjit	still
jim	quiet
jim	silent
jim	still
jinnilik	insanity
jinnilik	madness
jinni	mad
jinni	madman
jins	gender
jinsiy	sexual
jins	sex
jism	body
jiyan	nephew
jiyda	date
jizzax	jizzakh
joʻnatish	send
joʻnat	send
jonivor	creature
jonkuyar	dedicated
jonkuyar	devoted
jonkuyarlik	dedication
jonkuyarlik	devotion
jonlanish	revive
jonlan	revive
jonlantirish	revive
jonlantir	revive
jonli	alive
jon	life
jonli	living
jonli	vivid
jonon	beauty
jonsiz	lifeless
jonsiz	spiritless
jon	soul
jon	spirit
josus	spy
joy	dwelling
joy	house
joy	position
jurʼat	daring
jurʼat	determination
jurʼatli	courageous
jurʼatli	daring
jurʼatsiz	coward
jurʼatsiz	indecisive
jurʼatsiz	timid
kabinet	office
kabinet	study
kabob	kebab
kafe	cafe
kafe	cafetaria
kakao	cacao
kaltakla	beat
kaltaklash	beat
kaltak	stick
kalta	short
kambagʻallik	neediness
kambagʻallik	poverty
kamchilik	default
kamchilik	shortcoming
kamhafsala	inert
kamhafsala	passive
kamolot	maturity
kamolot	perfection
kamon	bow
kanada	canada
kanadalik	canadian
kanalizatsiya	sewerage
kapa	tent
karam	cabbage
kar	deaf
karlik	deafness
kartoshka	potatoe
karvonsaroy	caravanserai
kasalxona	hospital
kashtan	chestnut
kaska	helmet
katak	cage
katak	run
katta	big
kattakon	huge
kattakon	immense
katta	large
kattalashtir	enlarge
kattalashtirish	enlarge
kattalik	largeness
kattalik	size
kayf	drunkenness
kayf	enjoyment
kechik	passage
kechinma	feeling
kechir	experience
kechirish	experience
keksa	elderly
keksa	old
kel	approach
kel	arrive
kel	come
kelin	bride
kelinoyi	sister-in-law
kelish	approach
kelish	arrival
kelish	arrive
kelish	come
kelish	coming
kelishmovchilik	disagreement
kelishmovchilik	discord
kelishtirish	reconcile
kelishtir	reconcile
kelishuv	agreement
kelishuvchilik	compromise
keltir	cause
keltirish	cause
keltirish	provoke
keltir	provoke
kemir	gnaw
kemirish	gnaw
kengaytir	broaden
kengaytirish	broaden
kengaytirish	widen
kengaytir	widen
keng	broad
kenglik	breadth
kenglik	width
keng	spacious
keng	vast
keng	wide
keraklik	necessity
keraklik	need
keraklik	requirement
kerakli	necessary
kerakli	needed
kerak	necessity
kerak	need
keraksiz	unnecessary
ket	go
ketish	go
ketish	leave
ketkazish	remove
ketkaz	remove
ket	leave
kezish	roam
kezish	stroll
kezish	wander
kez	roam
kez	stroll
kez	wander
kichiklashtirish	shorten
kichiklashtir	shorten
kichiklik	smallness
kichik	little
kichik	small
kichkina	little
kichkina	tiny
kilogramm	kilogram
kilometr	kilometre
kinoteatr	cinema
kioska	kiosk
kira	charge
kira	fare
kira	fee
kirgiz	introduce
kirgizish	introduce
kirish	entrance
kirish	entry
koʻcha-koʻy	streets
koʻcha	street
koʻcha	y
koʻchirish	move
koʻchirish	transfer
koʻchir	move
koʻchir	transfer
koʻchiruvchilik	deportation
koʻchiruvchilik	transportation
koʻchish	migrate
koʻchish	move
koʻchma	mobile
koʻch	migrate
koʻch	move
kofe	coffee
koʻkat	greenery
koʻkat	greens
koʻk	green
koʻk	greens
koʻkimtir	bluish
koʻkimtir	greenish
koʻkish	bluish
koʻkish	greenish
koʻk	vegetables
koʻndirish	persuade
koʻndir	persuade
konfet	candy
konfet	sweet
koʻngilchan	good-hearted
koʻngilchan	soft-hearted
koʻngilli	voluntary
konservalar	conserves
konservalar	preserves
konserva	preserve
konsulxona	consulate
konyak	brandy
konyak	cognac
koʻpik	foam
koʻpik	froth
koʻpikla	foam
koʻpikla	froth
koʻpiklash	foam
koʻpiklash	froth
koʻpik	lather
koʻpikli	frothy
koʻr	blind
koreya	korea
koreyalik	korean
koreys	korean
koridor	corridor
koridor	hallway
koʻrimsiz	ugly
koʻrimsiz	unattractive
koʻrin	appear
koʻrin	emerge
koʻrinish	appear
koʻrinish	emerge
koʻrinishli	attractive
koʻrinishli	handsome
koʻrinishli	pretty
koʻrkam	beautiful
koʻrkam	handsome
koʻrkamlash	embellish
koʻrkamlashish	embellish
koʻrkamlashtir	beautify
koʻrkamlashtirish	beautify
koʻrkamlik	beauty
koʻrk	beauty
koʻrk	charm
koʻrlik	blindness
koʻrsat	demonstrate
koʻrsatish	demonstrate
koʻtar	bear
koʻtar	endure
koʻtaril	ascend
koʻtarilish	ascend
koʻtarilish	rise
koʻtaril	rise
koʻtarish	bear
koʻtarish	endure
koʻtarish	stand
koʻtar	stand
kub	cube
kubik	cubic
kurash	battle
kurashchan	combat-worth
kurashchi	fighter
kurash	fight
kurash	fighting
kurashish	fight
kurashish	wrestle
kurash	struggle
kurash	wrestle
kutilmaganlik	surprise
kutubxona	library
kuyov	bridegroom
kuzat	accompany
kuzatish	accompany
kuzatish	observe
kuzatish	survey
kuzatish	watch
kuzat	observe
kuzat	survey
kuzatuvchi	observer
kuzat	watch
kvadrat	square
kvartal	block
kvartira	apartment
kvartira	flat
kvartira	lodgings
laboratoriya	laboratory
lafz	language
lafz	promise
lafz	words
lager	camp
lagʻmon	noodles
lapashang	slow
lapashang	sluggish
larzangla	shake
larzanglash	shake
larzanglash	tremble
larzangla	tremble
larza	shaking
larza	trembling
lashkar	army
lashkarboshi	commander
lashkar	forces
lavlagi	beetroot
layoqat	ability
layoqat	capability
layoqatli	able
layoqatli	capable
layoqatsiz	incapable
layoqatsizlik	inability
lazzat	flavour
lazzatli	delicious
lazzatli	tasty
lazzatsiz	flavourless
lazzatsiz	tasteless
lazzat	taste
lift	elevator
lift	lift
likyor	liquor
limonad	lemonad
limon	lemon
litr	litre
loʻli	gipsy
london	london
loy	mud
lozim	necessity
lozim	need
lozim	requirement
mabodo	if
madina	medina
madrasa	madrasah
magazin	shop
